"Controller","Verb","Route","Action"
"AccionesPersonalController","HttpGet","","Catalogos"
"AccionesPersonalController","HttpGet","","Listar"
"AccionesPersonalController","HttpGet","{id:long}","Obtener"
"AccionesPersonalController","HttpPost","","Crear"
"AccionesPersonalController","HttpPut","{id:long}","Actualizar"
"AccionesPersonalController","HttpDelete","{id:long}","Eliminar"
"CajaController","HttpGet","","Catalogos"
"CajaController","HttpGet","","BuscarCreditos"
"CajaController","HttpGet","","BuscarDesembolsos"
"CajaController","HttpPost","","AbrirSesion"
"CajaController","HttpPost","","CerrarSesion"
"CajaController","HttpPost","","GenerarArqueo"
"CajaController","HttpGet","","Resumen"
"CajaController","HttpGet","","ListarRecibos"
"CajaController","HttpGet","","BuscarAbonante"
"CajaController","HttpPost","","AplicarPago"
"CajaController","HttpPost","","DesembolsarCredito"
"CajaController","HttpPost","","AnularPago"
"CajaController","HttpGet","","VoucherPagoHtml"
"CajaController","HttpGet","","VoucherMovimientoHtml"
"CajaController","HttpGet","","HojaArqueoHtml"
"CarteraController","HttpGet","","Catalogos"
"CarteraController","HttpGet","","Resumen"
"CarteraController","HttpGet","","Listar"
"CarteraController","HttpGet","","Obtener"
"CarteraController","HttpGet","","RecuperacionDiaria"
"CarteraController","HttpGet","","ClasificacionRegulatoria"
"CarteraController","HttpGet","","UltimoCierreRegulatorio"
"CarteraController","HttpPost","","Reasignar"
"CarteraController","HttpPost","","Desasignar"
"CatalogosRrhhController","HttpGet","","Catalogos"
"CatalogosRrhhController","HttpGet","","Listar"
"CatalogosRrhhController","HttpGet","","Obtener"
"CatalogosRrhhController","HttpPost","","Crear"
"CatalogosRrhhController","HttpPut","{id:long}","Actualizar"
"CatalogosRrhhController","HttpDelete","{id:long}","Eliminar"
"ClientesController","HttpGet","","Catalogos"
"ClientesController","HttpGet","","Listar"
"ClientesController","HttpGet","","Obtener"
"ClientesController","HttpGet","","PrestamoDetalle"
"ClientesController","HttpGet","","EstadoCuentaPrestamoHtml"
"ClientesController","HttpGet","","PlanPagoPrestamoHtml"
"ClientesController","HttpPost","","Crear"
"ClientesController","HttpPost","","Actualizar"
"ClientesController","HttpPost","","SolicitarEliminacion"
"ClientesController","HttpGet","","EliminacionesPendientes"
"ContabilidadController","HttpGet","","Catalogos"
"ContabilidadController","HttpGet","","CoreMicrofinanciero"
"ContabilidadController","HttpGet","","Resumen"
"ContabilidadController","HttpGet","","ListarCuentas"
"ContabilidadController","HttpGet","","ObtenerCuenta"
"ContabilidadController","HttpPost","","GuardarCuenta"
"ContabilidadController","HttpPost","","CambiarEstadoCuenta"
"ContabilidadController","HttpGet","","ListarAsientos"
"ContabilidadController","HttpGet","","DetalleAsiento"
"ContabilidadController","HttpGet","","BalanceComprobacion"
"ContabilidadController","HttpGet","","BalanceGeneral"
"ContabilidadController","HttpGet","","EstadoResultados"
"ContabilidadController","HttpGet","","CarteraContable"
"ContabilidadController","HttpGet","","PrimBase"
"ContratosController","HttpGet","","Catalogos"
"ContratosController","HttpGet","","SugerirNumero"
"ContratosController","HttpGet","","Listar"
"ContratosController","HttpGet","{id:long}","Obtener"
"ContratosController","HttpPost","","Crear"
