"TABLE_SCHEMA","TABLE_NAME","COLUMN_NAME","DATA_TYPE","CHARACTER_MAXIMUM_LENGTH","NUMERIC_PRECISION","NUMERIC_SCALE","IS_NULLABLE","ORDINAL_POSITION"
"administracion","impuesto","id_impuesto","bigint","","19","0","NO","1"
"administracion","impuesto","id_empresa","bigint","","19","0","NO","2"
"administracion","impuesto","codigo_impuesto","nvarchar","30","","","NO","3"
"administracion","impuesto","nombre_impuesto","nvarchar","150","","","NO","4"
"administracion","impuesto","porcentaje","decimal","","9","4","NO","5"
"administracion","impuesto","tipo_impuesto","nvarchar","40","","","NO","6"
"administracion","impuesto","es_trasladable","bit","","","","NO","7"
"administracion","impuesto","es_retenible","bit","","","","NO","8"
"administracion","impuesto","codigo_cuenta_contable","nvarchar","20","","","YES","9"
"administracion","impuesto","activo","bit","","","","NO","10"
"administracion","impuesto","fecha_creacion","datetime2","","","","NO","11"
"administracion","impuesto","usuario_creacion","nvarchar","100","","","NO","12"
"administracion","impuesto","fecha_modificacion","datetime2","","","","YES","13"
"administracion","impuesto","usuario_modificacion","nvarchar","100","","","YES","14"
"administracion","impuesto","fecha_anulacion","datetime2","","","","YES","15"
"administracion","impuesto","usuario_anulacion","nvarchar","100","","","YES","16"
"administracion","impuesto","motivo_anulacion","nvarchar","500","","","YES","17"
"administracion","moneda","id_moneda","bigint","","19","0","NO","1"
"administracion","moneda","id_empresa","bigint","","19","0","NO","2"
"administracion","moneda","codigo_moneda","nvarchar","10","","","NO","3"
"administracion","moneda","nombre_moneda","nvarchar","120","","","NO","4"
"administracion","moneda","simbolo","nvarchar","20","","","NO","5"
"administracion","moneda","decimales","tinyint","","3","0","NO","6"
"administracion","moneda","es_moneda_base","bit","","","","NO","7"
"administracion","moneda","permite_tipo_cambio","bit","","","","NO","8"
"administracion","moneda","activo","bit","","","","NO","9"
"administracion","moneda","fecha_creacion","datetime2","","","","NO","10"
"administracion","moneda","usuario_creacion","nvarchar","100","","","NO","11"
"administracion","moneda","fecha_modificacion","datetime2","","","","YES","12"
"administracion","moneda","usuario_modificacion","nvarchar","100","","","YES","13"
"administracion","moneda","fecha_anulacion","datetime2","","","","YES","14"
"administracion","moneda","usuario_anulacion","nvarchar","100","","","YES","15"
"administracion","moneda","motivo_anulacion","nvarchar","500","","","YES","16"
"administracion","secuencia_documento","id_secuencia_documento","bigint","","19","0","NO","1"
"administracion","secuencia_documento","id_empresa","bigint","","19","0","NO","2"
"administracion","secuencia_documento","id_sucursal","bigint","","19","0","YES","3"
"administracion","secuencia_documento","modulo","nvarchar","60","","","NO","4"
"administracion","secuencia_documento","tipo_documento","nvarchar","80","","","NO","5"
"administracion","secuencia_documento","prefijo","nvarchar","20","","","NO","6"
"administracion","secuencia_documento","siguiente_numero","bigint","","19","0","NO","7"
"administracion","secuencia_documento","longitud_numero","int","","10","0","NO","8"
"administracion","secuencia_documento","observacion","nvarchar","500","","","YES","9"
"administracion","secuencia_documento","activo","bit","","","","NO","10"
"administracion","secuencia_documento","fecha_creacion","datetime2","","","","NO","11"
"administracion","secuencia_documento","usuario_creacion","nvarchar","100","","","NO","12"
"administracion","secuencia_documento","fecha_modificacion","datetime2","","","","YES","13"
"administracion","secuencia_documento","usuario_modificacion","nvarchar","100","","","YES","14"
"administracion","secuencia_documento","fecha_anulacion","datetime2","","","","YES","15"
"administracion","secuencia_documento","usuario_anulacion","nvarchar","100","","","YES","16"
"administracion","secuencia_documento","motivo_anulacion","nvarchar","500","","","YES","17"
"auditoria","bitacora_transaccion","id_bitacora_transaccion","bigint","","19","0","NO","1"
"auditoria","bitacora_transaccion","esquema_objeto","nvarchar","128","","","NO","2"
"auditoria","bitacora_transaccion","nombre_objeto","nvarchar","128","","","NO","3"
"auditoria","bitacora_transaccion","tipo_operacion","nvarchar","20","","","NO","4"
"auditoria","bitacora_transaccion","fecha_evento","datetimeoffset","","","","NO","5"
"auditoria","bitacora_transaccion","usuario_bd","nvarchar","128","","","YES","6"
"auditoria","bitacora_transaccion","login_original","nvarchar","128","","","YES","7"
"auditoria","bitacora_transaccion","host_origen","nvarchar","128","","","YES","8"
"auditoria","bitacora_transaccion","aplicacion_origen","nvarchar","128","","","YES","9"
"auditoria","bitacora_transaccion","usuario_aplicacion","nvarchar","128","","","YES","10"
"auditoria","bitacora_transaccion","token_sesion_aplicacion","nvarchar","128","","","YES","11"
"auditoria","bitacora_transaccion","total_registros","int","","10","0","NO","12"
"auditoria","bitacora_transaccion","datos_antes_json","nvarchar","-1","","","YES","13"
"auditoria","bitacora_transaccion","datos_despues_json","nvarchar","-1","","","YES","14"
"bancos","conciliacion_bancaria","id_conciliacion_bancaria","bigint","","19","0","NO","1"
"bancos","conciliacion_bancaria","id_cuenta_bancaria","bigint","","19","0","NO","2"
"bancos","conciliacion_bancaria","id_empresa","bigint","","19","0","NO","3"
"bancos","conciliacion_bancaria","id_sucursal","bigint","","19","0","YES","4"
"bancos","conciliacion_bancaria","fecha_desde","date","","","","NO","5"
"bancos","conciliacion_bancaria","fecha_hasta","date","","","","NO","6"
"bancos","conciliacion_bancaria","fecha_conciliacion","datetime2","","","","NO","7"
"bancos","conciliacion_bancaria","saldo_estado_cuenta","decimal","","18","2","NO","8"
"bancos","conciliacion_bancaria","saldo_libro","decimal","","18","2","NO","9"
"bancos","conciliacion_bancaria","diferencia_conciliacion","decimal","","18","2","NO","10"
"bancos","conciliacion_bancaria","codigo_estado_conciliacion","nvarchar","30","","","NO","11"
"bancos","conciliacion_bancaria","descripcion","nvarchar","500","","","YES","12"
"bancos","conciliacion_bancaria","fecha_creacion","datetime2","","","","NO","13"
"bancos","conciliacion_bancaria","usuario_creacion","nvarchar","100","","","NO","14"
"bancos","conciliacion_bancaria","fecha_modificacion","datetime2","","","","YES","15"
"bancos","conciliacion_bancaria","usuario_modificacion","nvarchar","100","","","YES","16"
"bancos","conciliacion_bancaria_detalle","id_conciliacion_bancaria_detalle","bigint","","19","0","NO","1"
"bancos","conciliacion_bancaria_detalle","id_conciliacion_bancaria","bigint","","19","0","NO","2"
"bancos","conciliacion_bancaria_detalle","id_movimiento_bancario","bigint","","19","0","NO","3"
"bancos","conciliacion_bancaria_detalle","fecha_creacion","datetime2","","","","NO","4"
"bancos","conciliacion_bancaria_detalle","usuario_creacion","nvarchar","100","","","NO","5"
"bancos","cuenta_bancaria","id_cuenta_bancaria","bigint","","19","0","NO","1"
"bancos","cuenta_bancaria","id_empresa","bigint","","19","0","NO","2"
"bancos","cuenta_bancaria","id_sucursal","bigint","","19","0","YES","3"
"bancos","cuenta_bancaria","id_banco","bigint","","19","0","NO","4"
"bancos","cuenta_bancaria","codigo_cuenta_bancaria","nvarchar","50","","","NO","5"
"bancos","cuenta_bancaria","nombre_cuenta_bancaria","nvarchar","150","","","NO","6"
"bancos","cuenta_bancaria","numero_cuenta_bancaria","nvarchar","80","","","NO","7"
"bancos","cuenta_bancaria","tipo_cuenta_bancaria","nvarchar","30","","","NO","8"
"bancos","cuenta_bancaria","moneda","nvarchar","10","","","NO","9"
"bancos","cuenta_bancaria","codigo_cuenta_contable","nvarchar","20","","","NO","10"
"bancos","cuenta_bancaria","saldo_inicial","decimal","","18","2","NO","11"
"bancos","cuenta_bancaria","fecha_apertura","date","","","","NO","12"
"bancos","cuenta_bancaria","observacion","nvarchar","500","","","YES","13"
"bancos","cuenta_bancaria","activo","bit","","","","NO","14"
"bancos","cuenta_bancaria","fecha_creacion","datetime2","","","","NO","15"
"bancos","cuenta_bancaria","usuario_creacion","nvarchar","100","","","NO","16"
"bancos","cuenta_bancaria","fecha_modificacion","datetime2","","","","YES","17"
"bancos","cuenta_bancaria","usuario_modificacion","nvarchar","100","","","YES","18"
"bancos","estado_conciliacion_bancaria","codigo_estado_conciliacion","nvarchar","30","","","NO","1"
"bancos","estado_conciliacion_bancaria","nombre_estado_conciliacion","nvarchar","100","","","NO","2"
"bancos","estado_conciliacion_bancaria","activo","bit","","","","NO","3"
"bancos","movimiento_bancario","id_movimiento_bancario","bigint","","19","0","NO","1"
"bancos","movimiento_bancario","id_cuenta_bancaria","bigint","","19","0","NO","2"
"bancos","movimiento_bancario","id_empresa","bigint","","19","0","NO","3"
"bancos","movimiento_bancario","id_sucursal","bigint","","19","0","YES","4"
"bancos","movimiento_bancario","fecha_movimiento","datetime2","","","","NO","5"
"bancos","movimiento_bancario","fecha_valor","datetime2","","","","YES","6"
"bancos","movimiento_bancario","codigo_tipo_movimiento_bancario","nvarchar","40","","","NO","7"
"bancos","movimiento_bancario","naturaleza_movimiento","nvarchar","10","","","NO","8"
"bancos","movimiento_bancario","origen_movimiento","nvarchar","40","","","NO","9"
"bancos","movimiento_bancario","tipo_documento_origen","nvarchar","40","","","YES","10"
"bancos","movimiento_bancario","id_documento_origen","bigint","","19","0","YES","11"
"bancos","movimiento_bancario","id_movimiento_caja","bigint","","19","0","YES","12"
"bancos","movimiento_bancario","id_transferencia_bancaria","bigint","","19","0","YES","13"
"bancos","movimiento_bancario","numero_referencia_bancaria","nvarchar","100","","","YES","14"
"bancos","movimiento_bancario","numero_cheque","nvarchar","50","","","YES","15"
"bancos","movimiento_bancario","documento_bancario","nvarchar","100","","","YES","16"
"bancos","movimiento_bancario","codigo_moneda","nvarchar","10","","","NO","17"
"bancos","movimiento_bancario","tipo_cambio","decimal","","18","6","NO","18"
"bancos","movimiento_bancario","monto_movimiento","decimal","","18","2","NO","19"
"bancos","movimiento_bancario","codigo_cuenta_contrapartida","nvarchar","20","","","YES","20"
"bancos","movimiento_bancario","descripcion","nvarchar","500","","","YES","21"
"bancos","movimiento_bancario","estado_movimiento","nvarchar","20","","","NO","22"
"bancos","movimiento_bancario","id_asiento","bigint","","19","0","YES","23"
"bancos","movimiento_bancario","anulado","bit","","","","NO","24"
"bancos","movimiento_bancario","fecha_anulacion","datetime2","","","","YES","25"
"bancos","movimiento_bancario","usuario_anulacion","nvarchar","100","","","YES","26"
"bancos","movimiento_bancario","fecha_creacion","datetime2","","","","NO","27"
"bancos","movimiento_bancario","usuario_creacion","nvarchar","100","","","NO","28"
"bancos","movimiento_bancario","fecha_modificacion","datetime2","","","","YES","29"
"bancos","movimiento_bancario","usuario_modificacion","nvarchar","100","","","YES","30"
"bancos","tipo_movimiento_bancario","codigo_tipo_movimiento_bancario","nvarchar","40","","","NO","1"
"bancos","tipo_movimiento_bancario","nombre_tipo_movimiento","nvarchar","120","","","NO","2"
"bancos","tipo_movimiento_bancario","naturaleza_movimiento","nvarchar","10","","","NO","3"
"bancos","tipo_movimiento_bancario","origen_operativo","nvarchar","30","","","NO","4"
"bancos","tipo_movimiento_bancario","requiere_cuenta_contrapartida","bit","","","","NO","5"
"bancos","tipo_movimiento_bancario","permite_documento_bancario","bit","","","","NO","6"
"bancos","tipo_movimiento_bancario","permite_cheque","bit","","","","NO","7"
"bancos","tipo_movimiento_bancario","activo","bit","","","","NO","8"
"bancos","transferencia_bancaria","id_transferencia_bancaria","bigint","","19","0","NO","1"
"bancos","transferencia_bancaria","id_empresa","bigint","","19","0","NO","2"
"bancos","transferencia_bancaria","id_sucursal","bigint","","19","0","YES","3"
"bancos","transferencia_bancaria","fecha_transferencia","datetime2","","","","NO","4"
"bancos","transferencia_bancaria","id_cuenta_bancaria_origen","bigint","","19","0","NO","5"
