"foreign_key","parent_schema","parent_table","parent_column","referenced_schema","referenced_table","referenced_column"
"FK_administracion_impuesto_cuenta","administracion","impuesto","codigo_cuenta_contable","contabilidad","catalogo_cuenta_muc","codigo_cuenta"
"FK_administracion_impuesto_empresa","administracion","impuesto","id_empresa","empresa","empresa","id_empresa"
"FK_administracion_moneda_empresa","administracion","moneda","id_empresa","empresa","empresa","id_empresa"
"FK_administracion_secuencia_documento_empresa","administracion","secuencia_documento","id_empresa","empresa","empresa","id_empresa"
"FK_administracion_secuencia_documento_sucursal","administracion","secuencia_documento","id_sucursal","empresa","sucursal","id_sucursal"
"FK_conciliacion_bancaria_cuenta","bancos","conciliacion_bancaria","id_cuenta_bancaria","bancos","cuenta_bancaria","id_cuenta_bancaria"
"FK_conciliacion_bancaria_empresa","bancos","conciliacion_bancaria","id_empresa","empresa","empresa","id_empresa"
"FK_conciliacion_bancaria_estado","bancos","conciliacion_bancaria","codigo_estado_conciliacion","bancos","estado_conciliacion_bancaria","codigo_estado_conciliacion"
"FK_conciliacion_bancaria_sucursal","bancos","conciliacion_bancaria","id_sucursal","empresa","sucursal","id_sucursal"
"FK_conciliacion_bancaria_detalle_header","bancos","conciliacion_bancaria_detalle","id_conciliacion_bancaria","bancos","conciliacion_bancaria","id_conciliacion_bancaria"
"FK_conciliacion_bancaria_detalle_mov","bancos","conciliacion_bancaria_detalle","id_movimiento_bancario","bancos","movimiento_bancario","id_movimiento_bancario"
"FK_cuenta_bancaria_banco","bancos","cuenta_bancaria","id_banco","rrhh","banco","id_banco"
"FK_cuenta_bancaria_cuenta_contable","bancos","cuenta_bancaria","codigo_cuenta_contable","contabilidad","catalogo_cuenta_muc","codigo_cuenta"
"FK_cuenta_bancaria_empresa","bancos","cuenta_bancaria","id_empresa","empresa","empresa","id_empresa"
"FK_cuenta_bancaria_sucursal","bancos","cuenta_bancaria","id_sucursal","empresa","sucursal","id_sucursal"
"FK_movimiento_bancario_asiento","bancos","movimiento_bancario","id_asiento","contabilidad","asiento","id_asiento"
"FK_movimiento_bancario_caja","bancos","movimiento_bancario","id_movimiento_caja","caja","movimiento_caja","id_movimiento_caja"
"FK_movimiento_bancario_cuenta","bancos","movimiento_bancario","id_cuenta_bancaria","bancos","cuenta_bancaria","id_cuenta_bancaria"
"FK_movimiento_bancario_cuenta_contrapartida","bancos","movimiento_bancario","codigo_cuenta_contrapartida","contabilidad","catalogo_cuenta_muc","codigo_cuenta"
"FK_movimiento_bancario_empresa","bancos","movimiento_bancario","id_empresa","empresa","empresa","id_empresa"
"FK_movimiento_bancario_sucursal","bancos","movimiento_bancario","id_sucursal","empresa","sucursal","id_sucursal"
"FK_movimiento_bancario_tipo","bancos","movimiento_bancario","codigo_tipo_movimiento_bancario","bancos","tipo_movimiento_bancario","codigo_tipo_movimiento_bancario"
