"ROUTINE_SCHEMA","ROUTINE_NAME"
"administracion","usp_actualizar_impuesto"
"administracion","usp_actualizar_moneda"
"administracion","usp_actualizar_secuencia_documento"
"administracion","usp_generar_numero_secuencia_documento"
"administracion","usp_registrar_impuesto"
"administracion","usp_registrar_moneda"
"administracion","usp_registrar_secuencia_documento"
"bancos","usp_cambiar_estado_cuenta_bancaria"
"bancos","usp_registrar_conciliacion_bancaria"
"bancos","usp_registrar_cuenta_bancaria"
"bancos","usp_registrar_deposito_desde_caja"
"bancos","usp_registrar_movimiento_bancario"
"bancos","usp_registrar_transferencia_bancaria"
"caja","usp_abrir_sesion_caja"
"caja","usp_actualizar_totales_sesion_caja"
"caja","usp_cerrar_sesion_caja"
"caja","usp_generar_movimiento_y_recibo_pago_credito"
"caja","usp_registrar_arqueo_caja"
"caja","usp_registrar_detalle_denominacion_arqueo"
"captaciones","usp_abrir_captacion_cliente"
"captaciones","usp_cerrar_captacion_cliente"
"captaciones","usp_registrar_movimiento_captacion"
"captaciones","usp_registrar_producto_captacion"
"clientes","usp_actualizar_estado_prospecto_cliente"
"clientes","usp_convertir_prospecto_a_cliente"
"clientes","usp_crear_cliente"
"clientes","usp_registrar_prospecto_cliente"
"cobranza","usp_asignar_responsable_cobranza_credito"
"cobranza","usp_conciliar_promesa_pago_credito"
"cobranza","usp_registrar_gestion_cobranza_credito"
"cobranza","usp_registrar_promesa_pago_credito"
"cobranza","usp_resolver_promesa_pago_credito"
"compras","usp_anular_factura_proveedor"
"compras","usp_registrar_factura_proveedor"
"contabilidad","usp_abrir_periodo_contable"
"contabilidad","usp_cambiar_estado_centro_costo"
"contabilidad","usp_cerrar_periodo_contable"
"contabilidad","usp_generar_asiento_anticipo_cliente"
"contabilidad","usp_generar_asiento_anticipo_proveedor"
"contabilidad","usp_generar_asiento_aplicacion_anticipo_cliente"
"contabilidad","usp_generar_asiento_aplicacion_anticipo_proveedor"
"contabilidad","usp_generar_asiento_cobro_cliente"
"contabilidad","usp_generar_asiento_factura_proveedor"
"contabilidad","usp_generar_asiento_factura_venta"
"contabilidad","usp_generar_asiento_movimiento_bancario"
"contabilidad","usp_generar_asiento_nota_credito_venta"
"contabilidad","usp_generar_asiento_pago_credito"
"contabilidad","usp_generar_asiento_pago_proveedor"
"contabilidad","usp_generar_asiento_transferencia_bancaria"
"contabilidad","usp_generar_asiento_traslado_estado_credito"
"contabilidad","usp_generar_asientos_cierre_conami"
"contabilidad","usp_generar_saneamiento_intereses_credito"
"contabilidad","usp_registrar_centro_costo"
"contabilidad","usp_revertir_asiento"
"contabilidad","usp_seed_muc_conami_v09"
"contabilidad","usp_validar_periodo_contable_posteo"
"creditos","usp_aplicar_pago_credito"
"creditos","usp_aprobar_prorroga_credito"
"creditos","usp_aprobar_reestructuracion_credito"
"creditos","usp_aprobar_refinanciamiento_y_crear_credito"
"creditos","usp_aprobar_solicitud_credito"
"creditos","usp_asignar_oficial_credito"
"creditos","usp_cerrar_pago_credito"
"creditos","usp_crear_credito_desde_solicitud"
"creditos","usp_crear_expediente_credito"
"creditos","usp_crear_solicitud_credito"
"creditos","usp_generar_cronograma_credito"
"creditos","usp_reasignar_cartera_masiva_oficial_credito"
"creditos","usp_recalcular_mora_credito"
"creditos","usp_recalcular_resumen_credito"
"creditos","usp_registrar_avaluo_garantia"
